time,symbol,direction,outcome,loss_category,confidence,adr_util,asian_sweep,at_value,max_fav_ratio,duration_mins,hour
2025-11-24 20:45:00+00:00,AUDUSD=X,SELL,LOSS,Standard Stop,9.5,0.5727933090683807,True,False,0.61,10,20
2025-11-25 03:00:00+00:00,EURUSD=X,SELL,WIN,N/A,10.0,0.27310750836518405,False,False,1.0,10,3
2025-11-25 09:15:00+00:00,EURUSD=X,SELL,LOSS,Standard Stop,10.0,0.48402555084753063,True,False,0.17,5,9
2025-11-26 12:15:00+00:00,GBPUSD=X,BUY,WIN,N/A,9.0,0.8677447818157256,True,True,1.09,10,12
2025-11-26 14:00:00+00:00,EURUSD=X,BUY,WIN,N/A,9.0,0.9164385485193333,True,True,1.36,30,14
2025-11-26 14:45:00+00:00,^GSPC,SELL,LOSS,Heartbreaker,10.0,0.2687866153127763,False,False,1.01,5,14
2025-11-26 14:45:00+00:00,^IXIC,SELL,WIN,N/A,10.0,0.2772768568637046,False,False,1.66,10,14
2025-11-27 07:45:00+00:00,GBPUSD=X,BUY,WIN,N/A,10.0,0.5010382440299743,False,False,1.13,15,7
2025-11-27 07:45:00+00:00,USDJPY=X,SELL,WIN,N/A,9.5,0.5697264556575516,False,False,1.0,5,7
2025-11-27 08:15:00+00:00,AUDUSD=X,BUY,LOSS,Instant Reversal,10.0,0.3760453164038784,False,False,0.0,5,8
2025-11-27 08:15:00+00:00,USDCAD=X,SELL,LOSS,Standard Stop,10.0,0.2873014513850238,False,False,0.67,5,8
2025-11-27 09:15:00+00:00,NZDUSD=X,BUY,LOSS,Instant Reversal,9.5,0.5968524469745662,False,False,0.09,5,9
2025-11-28 00:15:00+00:00,USDJPY=X,BUY,WIN,N/A,10.0,0.4135345541580728,False,False,1.12,10,0
2025-11-28 04:30:00+00:00,AUDUSD=X,BUY,LOSS,Heartbreaker,10.0,0.2180023518572605,False,False,0.89,5,4
2025-11-28 08:15:00+00:00,USDCAD=X,SELL,WIN,N/A,12.0,0.41633099261774315,True,False,1.09,45,8
2025-11-28 09:30:00+00:00,NZDUSD=X,BUY,WIN,N/A,9.0,0.5796936541117059,True,True,1.15,10,9
2025-11-28 12:00:00+00:00,GBPUSD=X,BUY,WIN,N/A,9.0,0.5785340728780096,True,True,1.37,25,12
2025-12-01 01:00:00+00:00,AUDUSD=X,BUY,WIN,N/A,10.0,0.38427710307451496,False,False,1.32,5,1
2025-12-01 18:30:00+00:00,AUDUSD=X,BUY,LOSS,Standard Stop,9.5,0.6649536126747067,False,False,0.77,35,18
2025-12-01 18:30:00+00:00,USDCAD=X,SELL,LOSS,Standard Stop,9.5,0.7427580586197298,True,False,0.78,30,18
2025-12-02 01:15:00+00:00,GBPUSD=X,BUY,LOSS,Standard Stop,9.5,0.13593104953087498,False,False,0.46,5,1
2025-12-02 09:30:00+00:00,USDCAD=X,SELL,LOSS,Standard Stop,10.0,0.37635246378830234,True,False,0.59,15,9
2025-12-02 09:45:00+00:00,AUDUSD=X,BUY,WIN,N/A,10.0,0.4631468386183335,False,False,1.02,5,9
2025-12-02 10:45:00+00:00,NZDUSD=X,BUY,LOSS,Standard Stop,9.5,0.5259211728633216,True,False,0.46,10,10
2025-12-02 22:00:00+00:00,GBPUSD=X,SELL,WIN,N/A,9.5,0.5730788938138731,False,False,1.21,10,22
2025-12-03 09:30:00+00:00,GC=F,BUY,LOSS,Standard Stop,10.0,0.7752743294216942,True,False,0.73,5,9
2025-12-03 15:15:00+00:00,USDCAD=X,SELL,WIN,N/A,10.0,0.709150200009393,False,False,1.05,35,15
2025-12-04 00:30:00+00:00,GBPUSD=X,BUY,WIN,N/A,9.5,0.09817320264392121,False,False,1.15,5,0
2025-12-04 03:30:00+00:00,USDJPY=X,SELL,WIN,N/A,9.5,0.5453883669536148,False,False,1.17,20,3
2025-12-04 12:45:00+00:00,USDCAD=X,SELL,LOSS,Heartbreaker,10.0,0.45972683716595913,True,False,0.98,25,12
2025-12-04 13:30:00+00:00,EURUSD=X,BUY,LOSS,Standard Stop,10.0,0.6258959229256259,False,False,0.5,5,13
2025-12-04 13:30:00+00:00,GBPUSD=X,BUY,WIN,N/A,12.0,0.5237498572483268,True,False,1.39,30,13
2025-12-04 13:30:00+00:00,NZDUSD=X,BUY,WIN,N/A,11.5,0.42966699748551523,True,False,1.32,30,13
2025-12-05 14:30:00+00:00,USDJPY=X,SELL,WIN,N/A,10.0,0.9420704200151515,True,False,1.14,10,14
2025-12-08 00:00:00+00:00,AUDUSD=X,BUY,WIN,N/A,9.5,0.16924261184744058,False,False,1.04,25,0
2025-12-08 06:45:00+00:00,NZDUSD=X,BUY,LOSS,Standard Stop,10.0,0.45729739746071907,False,False,0.16,5,6
2025-12-08 08:30:00+00:00,GBPUSD=X,BUY,LOSS,Standard Stop,10.0,0.42223380455877474,True,False,0.6,20,8
2025-12-08 11:15:00+00:00,GC=F,BUY,WIN,N/A,10.0,0.6479794989456718,True,False,1.01,20,11
2025-12-08 16:00:00+00:00,USDCAD=X,SELL,LOSS,Standard Stop,10.0,0.9433624530614627,True,False,0.64,5,16
2025-12-09 03:30:00+00:00,GC=F,SELL,WIN,N/A,10.0,0.19114090808900278,False,False,1.06,65,3
2025-12-09 14:45:00+00:00,NZDUSD=X,BUY,WIN,N/A,10.0,0.703700028971588,False,False,1.14,5,14
2025-12-10 04:45:00+00:00,GBPUSD=X,SELL,LOSS,Standard Stop,9.5,0.15457604668688193,False,False,0.4,5,4
2025-12-10 17:45:00+00:00,USDJPY=X,BUY,LOSS,Standard Stop,9.5,0.6803351623906273,True,False,0.57,5,17
2025-12-10 19:00:00+00:00,GC=F,BUY,WIN,N/A,10.0,0.6030911476872143,True,False,1.27,5,19
2025-12-11 03:30:00+00:00,NZDUSD=X,BUY,LOSS,Heartbreaker,10.0,0.6005836040473401,False,False,0.84,30,3
2025-12-11 04:45:00+00:00,GBPUSD=X,BUY,WIN,N/A,9.5,0.4273535595609535,False,False,1.04,10,4
2025-12-11 15:00:00+00:00,^IXIC,BUY,WIN,N/A,10.0,0.5672532478991291,False,False,1.1,10,15
2025-12-12 04:15:00+00:00,USDCAD=X,SELL,WIN,N/A,9.5,0.26975635868878295,False,False,1.18,75,4
2025-12-12 09:00:00+00:00,GBPUSD=X,BUY,LOSS,Standard Stop,12.0,0.3596755947600283,True,False,0.48,15,9
2025-12-12 11:30:00+00:00,NZDUSD=X,BUY,LOSS,Standard Stop,11.0,0.3594228516715491,True,False,0.16,5,11
2025-12-12 16:15:00+00:00,USDCAD=X,SELL,LOSS,Standard Stop,10.0,0.6971252856120622,True,False,0.66,5,16
2025-12-15 00:30:00+00:00,EURUSD=X,BUY,LOSS,Standard Stop,9.5,0.19211926216511854,False,False,0.62,5,0
2025-12-15 00:30:00+00:00,NZDUSD=X,BUY,LOSS,Instant Reversal,9.5,0.15535387733611128,False,False,0.0,5,0
2025-12-15 14:30:00+00:00,^GSPC,SELL,LOSS,Standard Stop,10.0,0.7791339664276843,False,False,0.56,5,14
2025-12-15 14:30:00+00:00,^IXIC,SELL,WIN,N/A,10.0,0.9411577213889823,False,False,1.03,15,14
2025-12-15 17:30:00+00:00,USDCAD=X,SELL,LOSS,Standard Stop,9.5,0.5079191498106449,True,False,0.52,25,17
2025-12-16 07:00:00+00:00,NZDUSD=X,SELL,LOSS,Heartbreaker,9.5,0.7316585167994183,False,False,1.58,5,7
2025-12-16 08:15:00+00:00,AUDUSD=X,SELL,WIN,N/A,10.0,0.6434919443078742,True,False,1.2,10,8
2025-12-16 20:45:00+00:00,^IXIC,SELL,WIN,N/A,9.5,0.709487773632329,False,False,1.31,20,20
2025-12-17 03:00:00+00:00,USDJPY=X,SELL,WIN,N/A,10.0,0.5297256038437491,False,False,1.0,15,3
2025-12-17 08:00:00+00:00,USDCAD=X,SELL,WIN,N/A,10.0,0.5528545278177608,True,False,1.09,35,8
2025-12-17 13:00:00+00:00,AUDUSD=X,SELL,WIN,N/A,9.5,0.5321405008011562,False,False,1.29,10,13
2025-12-17 15:30:00+00:00,NZDUSD=X,SELL,LOSS,Standard Stop,12.0,0.6686042999997583,True,False,0.44,5,15
2025-12-18 09:45:00+00:00,GC=F,BUY,LOSS,Standard Stop,10.0,0.38172334280352466,True,False,0.42,10,9
2025-12-18 13:00:00+00:00,USDCAD=X,SELL,WIN,N/A,10.0,0.6041164183928134,True,False,1.37,10,13
