trend_ema,atr_mult,total_profit,win_rate,trades
100,1.5,8.0,41.9753086419753,162
100,2.0,-1.0,33.125,160
100,2.5,-1.5,28.30188679245283,159
200,1.5,-1.5,39.6551724137931,174
200,2.0,-13.0,30.813953488372093,172
200,2.5,-17.0,25.730994152046783,171
